Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z
1.84348;-0.679365;1.10969;0.722025;0.00356658;-0.0104338;0.691779
1.8504;-0.680842;1.11224;0.723185;0.00256272;-0.0116623;0.690551
1.85727;-0.682644;1.11507;0.72434;0.00190479;-0.0134471;0.689309
1.87078;-0.686242;1.12091;0.726302;-0.000681788;-0.0168808;0.687168
1.87738;-0.6881;1.12396;0.727164;-0.00184303;-0.0185448;0.686211
1.88392;-0.689968;1.12683;0.728029;-0.00338619;-0.0200067;0.685246
1.89041;-0.691961;1.12967;0.728893;-0.0057315;-0.0211229;0.684278
1.89673;-0.69395;1.13242;0.729903;-0.00682216;-0.0234541;0.683114
1.90303;-0.696015;1.13479;0.730736;-0.00817436;-0.0242001;0.682182
1.90929;-0.698144;1.137;0.731514;-0.00982827;-0.0245338;0.681314
1.92137;-0.702579;1.14062;0.733256;-0.0103072;-0.0264376;0.679361
1.92698;-0.704573;1.14162;0.73439;-0.0097684;-0.0276009;0.678095
1.93314;-0.706893;1.1428;0.735524;-0.00935451;-0.02848;0.676835
1.93907;-0.709147;1.14364;0.736518;-0.00824863;-0.0290532;0.675744
1.951;-0.713676;1.14468;0.73884;-0.00564678;-0.0312773;0.673131
1.95708;-0.716024;1.14501;0.739898;-0.00447904;-0.0320339;0.671941
1.96297;-0.718165;1.14507;0.741081;-0.00324001;-0.0334722;0.670573
1.96923;-0.72035;1.1451;0.742059;-0.00131966;-0.0346286;0.669438
1.98177;-0.724386;1.14475;0.744267;0.00103125;-0.0368267;0.666866
1.98802;-0.72636;1.14467;0.745426;0.00181393;-0.0384455;0.665476
1.9945;-0.728166;1.14435;0.746478;0.00235071;-0.0387505;0.664276
2.001;-0.729539;1.1438;0.746911;0.00332234;-0.039243;0.663757
2.00759;-0.730788;1.14295;0.747437;0.00443003;-0.0395009;0.663143
2.01432;-0.732036;1.14279;0.747922;0.00439786;-0.0411041;0.662499
2.02793;-0.733567;1.14128;0.748014;0.00391591;-0.04105;0.6624
2.03488;-0.734095;1.14054;0.747823;0.00391866;-0.0409995;0.662619
2.04178;-0.73445;1.13978;0.747643;0.0031168;-0.0412587;0.662811
2.04871;-0.734577;1.13872;0.74724;0.00256209;-0.0405663;0.66331
2.06304;-0.734577;1.1366;0.746363;0.0018076;-0.0401888;0.664322
2.07753;-0.734036;1.13406;0.744917;0.000708715;-0.0383404;0.666054
2.08498;-0.733639;1.13272;0.74386;0.000292763;-0.0370958;0.667305
2.0923;-0.733181;1.13126;0.742977;-0.000338688;-0.0363575;0.668329
2.10731;-0.732207;1.12828;0.741037;-0.00132836;-0.0340486;0.670599
2.11485;-0.731791;1.1267;0.739828;-0.00189763;-0.0321393;0.672026
2.1224;-0.731422;1.1251;0.738624;-0.00276677;-0.030195;0.673435
2.13011;-0.731181;1.12362;0.737471;-0.00325163;-0.0282319;0.67478
2.13743;-0.730901;1.12194;0.736447;-0.00399215;-0.0258396;0.67599
2.15271;-0.730861;1.11921;0.734412;-0.00542488;-0.0217808;0.678333
2.16031;-0.731065;1.11805;0.733579;-0.00657964;-0.0199156;0.67928
2.16788;-0.731335;1.11685;0.732502;-0.00708985;-0.0179653;0.680491
2.17571;-0.731792;1.11585;0.731381;-0.00775606;-0.0155481;0.681748
2.18334;-0.732632;1.11495;0.731067;-0.0079634;-0.015032;0.682093
2.19846;-0.734463;1.11372;0.730563;-0.0100858;-0.0134368;0.682638
2.20612;-0.735725;1.11338;0.730204;-0.0101923;-0.0139059;0.683012
2.2137;-0.737118;1.11316;0.729826;-0.00984732;-0.0130112;0.683438
2.22124;-0.738693;1.11311;0.729678;-0.010112;-0.013295;0.683587
2.22871;-0.740605;1.11346;0.729891;-0.0103749;-0.0137402;0.683347
2.24348;-0.744655;1.11421;0.730119;-0.00931933;-0.0138582;0.683116
2.25762;-0.749109;1.11534;0.730745;-0.00882782;-0.0140629;0.682448
2.26467;-0.751468;1.11626;0.731032;-0.00868364;-0.0140426;0.682143
2.27148;-0.754025;1.11726;0.731542;-0.00897345;-0.0141832;0.68159
2.27825;-0.756582;1.11841;0.731956;-0.00860121;-0.014434;0.681144
2.2914;-0.761596;1.12102;0.732269;-0.00882919;-0.0142216;0.68081
2.29793;-0.764842;1.12258;0.733;-0.00873662;-0.0137365;0.680033
2.30382;-0.767752;1.12481;0.733829;-0.0111842;-0.014398;0.679089
2.3099;-0.770715;1.12672;0.734448;-0.0130712;-0.0137833;0.678399
2.31569;-0.773539;1.12864;0.735253;-0.0139469;-0.0143843;0.677497
2.32733;-0.779216;1.1331;0.736398;-0.016173;-0.0165348;0.676153
2.33322;-0.782151;1.1355;0.73696;-0.0170174;-0.0180015;0.675483
2.33891;-0.785058;1.13793;0.737737;-0.01791;-0.0197812;0.674561
2.34446;-0.787907;1.14036;0.738309;-0.0187495;-0.0227019;0.67382
2.35555;-0.793874;1.14491;0.740199;-0.0215181;-0.02503;0.671577
2.361;-0.79669;1.14711;0.740883;-0.0224108;-0.0265776;0.670733
2.36616;-0.79908;1.14896;0.741574;-0.0214997;-0.0307886;0.66982
2.37152;-0.801686;1.15091;0.742457;-0.0213302;-0.0332707;0.668727
2.37685;-0.804097;1.15243;0.743242;-0.0211603;-0.0349584;0.667773
2.38719;-0.808184;1.15477;0.744805;-0.0202523;-0.0381152;0.665885
2.39255;-0.810041;1.1557;0.745094;-0.0194992;-0.0393797;0.66551
2.39782;-0.811529;1.15618;0.745629;-0.0193793;-0.0391218;0.66493
2.40316;-0.812701;1.15647;0.745823;-0.0188352;-0.0386082;0.664758
2.40858;-0.813808;1.15681;0.745883;-0.0184613;-0.0376323;0.664757
2.41923;-0.815055;1.15655;0.745449;-0.0186603;-0.0348648;0.665388
