Ros wall_time;Angle Actuator 1 (deg);Angle Actuator 2 (deg);Angle Actuator 3 (deg);Angle Actuator 4 (deg);Angle Actuator 5 (deg);Angle Actuator 6 (deg);Angle Actuator 7 (deg)
1557073547961386550;-1251.67;231.782;1580.12;87.5132;-1179.62;236.166;226.047
1557073547981354498;-1251.67;231.782;1580.12;87.5132;-1179.62;236.166;226.047
1557073548001508381;-1251.66;231.963;1580.26;88.1058;-1179.21;236.176;225.147
1557073548021420291;-1251.66;231.963;1580.26;88.1058;-1179.21;236.176;225.147
1557073548041575835;-1251.66;231.963;1580.26;88.1058;-1179.21;236.176;225.147
1557073548061546278;-1251.66;231.963;1580.26;88.1058;-1179.21;236.176;225.147
1557073548081355123;-1251.66;231.963;1580.26;88.1058;-1179.21;236.176;225.147
1557073548101430631;-1251.66;232.126;1580.38;88.7107;-1178.76;236.176;224.265
1557073548121366687;-1251.66;232.126;1580.38;88.7107;-1178.76;236.176;224.265
1557073548141575981;-1251.66;232.126;1580.38;88.7107;-1178.76;236.176;224.265
1557073548161552214;-1251.66;232.126;1580.38;88.7107;-1178.76;236.176;224.265
1557073548181365093;-1251.66;232.126;1580.38;88.7107;-1178.76;236.176;224.265
1557073548201402966;-1251.66;232.257;1580.49;89.3268;-1178.3;236.175;223.348
1557073548221413730;-1251.66;232.257;1580.49;89.3268;-1178.3;236.175;223.348
1557073548241577998;-1251.66;232.257;1580.49;89.3268;-1178.3;236.175;223.348
1557073548261540789;-1251.66;232.257;1580.49;89.3268;-1178.3;236.175;223.348
1557073548281366215;-1251.66;232.257;1580.49;89.3268;-1178.3;236.175;223.348
1557073548301480640;-1251.67;232.395;1580.57;89.9534;-1177.85;236.173;222.444
1557073548321496061;-1251.67;232.395;1580.57;89.9534;-1177.85;236.173;222.444
1557073548341573541;-1251.67;232.395;1580.57;89.9534;-1177.85;236.173;222.444
1557073548361530019;-1251.67;232.395;1580.57;89.9534;-1177.85;236.173;222.444
1557073548381364407;-1251.67;232.395;1580.57;89.9534;-1177.85;236.173;222.444
1557073548401413632;-1251.67;232.395;1580.57;89.9534;-1177.85;236.173;222.444
1557073548421510493;-1251.7;232.478;1580.65;90.5631;-1177.4;236.169;221.586
1557073548441578386;-1251.7;232.478;1580.65;90.5631;-1177.4;236.169;221.586
1557073548461524071;-1251.7;232.478;1580.65;90.5631;-1177.4;236.169;221.586
1557073548481358387;-1251.7;232.478;1580.65;90.5631;-1177.4;236.169;221.586
1557073548501360395;-1251.71;232.566;1580.71;91.1942;-1176.94;236.155;220.738
1557073548521443151;-1251.71;232.566;1580.71;91.1942;-1176.94;236.155;220.738
1557073548541579605;-1251.71;232.566;1580.71;91.1942;-1176.94;236.155;220.738
1557073548561476666;-1251.71;232.566;1580.71;91.1942;-1176.94;236.155;220.738
1557073548581424629;-1251.71;232.566;1580.71;91.1942;-1176.94;236.155;220.738
1557073548601427426;-1251.75;232.641;1580.78;91.8305;-1176.49;236.13;219.865
1557073548621436881;-1251.75;232.641;1580.78;91.8305;-1176.49;236.13;219.865
1557073548641575176;-1251.75;232.641;1580.78;91.8305;-1176.49;236.13;219.865
1557073548661537512;-1251.75;232.641;1580.78;91.8305;-1176.49;236.13;219.865
1557073548681372790;-1251.75;232.641;1580.78;91.8305;-1176.49;236.13;219.865
1557073548701454590;-1251.75;232.641;1580.78;91.8305;-1176.49;236.13;219.865
1557073548721452850;-1251.78;232.718;1580.84;92.4745;-1176;236.088;219.002
1557073548741575206;-1251.78;232.718;1580.84;92.4745;-1176;236.088;219.002
1557073548761427882;-1251.78;232.718;1580.84;92.4745;-1176;236.088;219.002
1557073548781354110;-1251.78;232.718;1580.84;92.4745;-1176;236.088;219.002
1557073548801415633;-1251.83;232.8;1580.89;93.1348;-1175.48;236.049;218.038
1557073548821421871;-1251.83;232.8;1580.89;93.1348;-1175.48;236.049;218.038
1557073548841585687;-1251.83;232.8;1580.89;93.1348;-1175.48;236.049;218.038
1557073548861390199;-1251.83;232.8;1580.89;93.1348;-1175.48;236.049;218.038
1557073548881388834;-1251.83;232.8;1580.89;93.1348;-1175.48;236.049;218.038
1557073548901425392;-1251.89;232.851;1580.93;93.7963;-1175;235.998;217.184
1557073548921410984;-1251.89;232.851;1580.93;93.7963;-1175;235.998;217.184
1557073548941577861;-1251.89;232.851;1580.93;93.7963;-1175;235.998;217.184
1557073548961372237;-1251.89;232.851;1580.93;93.7963;-1175;235.998;217.184
1557073548981369294;-1251.89;232.851;1580.93;93.7963;-1175;235.998;217.184
1557073549001423871;-1251.91;232.908;1580.97;94.4557;-1174.54;235.952;216.291
1557073549021428562;-1251.91;232.908;1580.97;94.4557;-1174.54;235.952;216.291
1557073549041575614;-1251.91;232.908;1580.97;94.4557;-1174.54;235.952;216.291
1557073549061569908;-1251.91;232.908;1580.97;94.4557;-1174.54;235.952;216.291
1557073549081380249;-1251.91;232.908;1580.97;94.4557;-1174.54;235.952;216.291
1557073549101427338;-1251.91;232.908;1580.97;94.4557;-1174.54;235.952;216.291
1557073549121499444;-1251.96;232.95;1581.02;95.1239;-1174.05;235.934;215.435
1557073549141576813;-1251.96;232.95;1581.02;95.1239;-1174.05;235.934;215.435
1557073549161417837;-1251.96;232.95;1581.02;95.1239;-1174.05;235.934;215.435
1557073549181379923;-1251.96;232.95;1581.02;95.1239;-1174.05;235.934;215.435
1557073549201431635;-1251.96;232.95;1581.02;95.1239;-1174.05;235.934;215.435
1557073549221510814;-1251.99;232.989;1581.05;95.8136;-1173.56;235.906;214.55
1557073549241576871;-1251.99;232.989;1581.05;95.8136;-1173.56;235.906;214.55
1557073549261547331;-1251.99;232.989;1581.05;95.8136;-1173.56;235.906;214.55
1557073549281425222;-1251.99;232.989;1581.05;95.8136;-1173.56;235.906;214.55
1557073549301412102;-1251.99;232.989;1581.05;95.8136;-1173.56;235.906;214.55
1557073549321510617;-1251.99;233.031;1581.08;96.4997;-1173.11;235.886;213.652
1557073549341574153;-1251.99;233.031;1581.08;96.4997;-1173.11;235.886;213.652
1557073549361560818;-1251.99;233.031;1581.08;96.4997;-1173.11;235.886;213.652
1557073549381416825;-1251.99;233.031;1581.08;96.4997;-1173.11;235.886;213.652
1557073549401410761;-1252.01;233.057;1581.11;97.1929;-1172.63;235.883;212.788
1557073549421420867;-1252.01;233.057;1581.11;97.1929;-1172.63;235.883;212.788
1557073549441419464;-1252.01;233.057;1581.11;97.1929;-1172.63;235.883;212.788
1557073549461541712;-1252.01;233.057;1581.11;97.1929;-1172.63;235.883;212.788
1557073549481359183;-1252.01;233.057;1581.11;97.1929;-1172.63;235.883;212.788
1557073549501415167;-1252.01;233.057;1581.11;97.1929;-1172.63;235.883;212.788
1557073549521505969;-1252.02;233.096;1581.16;97.9123;-1172.12;235.882;211.863
1557073549541567965;-1252.02;233.096;1581.16;97.9123;-1172.12;235.882;211.863
1557073549561523805;-1252.02;233.096;1581.16;97.9123;-1172.12;235.882;211.863
1557073549581357718;-1252.02;233.096;1581.16;97.9123;-1172.12;235.882;211.863
1557073549601396600;-1252.02;233.107;1581.19;98.6234;-1171.67;235.882;211.008
1557073549621419311;-1252.02;233.107;1581.19;98.6234;-1171.67;235.882;211.008
