time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560686425558408651;0.00247816;0.0143705;0.00760167;0.999865;0.0125204;3.1025;0.0977226;
1560686425566749617;0.00250849;0.0144555;0.00764831;0.999863;0.0125224;3.1025;0.0977191;
1560686425575091578;0.00250068;0.0143964;0.00759218;0.999864;0.0125216;3.1025;0.0977233;
1560686425583436334;0.00251258;0.0144189;0.00762776;0.999864;0.0125167;3.1025;0.0977218;
1560686425591826204;0.00249447;0.0143155;0.0075886;0.999866;0.0125206;3.10251;0.0977217;
1560686425608430775;0.00248306;0.0143319;0.00758;0.999865;0.0125158;3.10252;0.0977325;
1560686425616742837;0.00249916;0.0143794;0.00760665;0.999865;0.0125262;3.10251;0.09773;
1560686425625060157;0.00249099;0.0141873;0.00754331;0.999868;0.0125261;3.10251;0.0977229;
1560686425633470177;0.00249741;0.0143225;0.00756943;0.999866;0.0125226;3.10252;0.0977304;
1560686425650063031;0.00249119;0.0144359;0.00762108;0.999864;0.0125187;3.10251;0.0977289;
1560686425658413085;0.00248329;0.014319;0.00758878;0.999866;0.012521;3.10251;0.0977254;
1560686425666741402;0.00247212;0.0144395;0.00761347;0.999864;0.0125215;3.1025;0.0977259;
1560686425675083678;0.00248991;0.0142891;0.00758951;0.999866;0.0125172;3.10251;0.0977234;
1560686425683404094;0.00250507;0.0143626;0.00758485;0.999865;0.0125241;3.10251;0.0977258;
1560686425691749075;0.00248007;0.0144459;0.00760303;0.999864;0.0125293;3.1025;0.0977267;
1560686425700092462;0.00250879;0.0143851;0.00763785;0.999864;0.0125269;3.10251;0.0977267;
1560686425716765289;0.00250475;0.0143846;0.00763371;0.999864;0.0125239;3.1025;0.0977152;
1560686425725097455;0.00247415;0.0143143;0.00757353;0.999866;0.0125189;3.10251;0.0977198;
1560686425733338954;0.00253773;0.0144557;0.00766717;0.999863;0.0125142;3.10251;0.0977249;
